jeu_200_25_8.txt_5_currentSA	jeu_200_25_8.txt_5_bestSA	jeu_200_25_8.txt_5_currentTS	jeu_200_25_8.txt_5_bestTS	jeu_200_25_8.txt_5_currentGrasp	jeu_200_25_8.txt_5_bestGrasp	jeu_200_25_8.txt_5_currentIG	jeu_200_25_8.txt_5_bestIG	
247	-175.84	-109.84	52167	52711	24535	69499	52967	70912	
248	-175.84	-109.84	52167	52711	25507	69499	53437	70912	
249	-175.84	-109.84	52167	52711	25980	69499	53971	70912	
250	-203.84	-109.84	52167	52711	27026	69499	54319	70912	
251	-208.84	-109.84	52167	52711	27817	69499	54813	70912	
252	-208.84	-109.84	52167	52711	28469	69499	55216	70912	
253	-208.84	-109.84	52167	52711	29396	69499	55537	70912	
254	-208.84	-109.84	52167	52711	30229	69499	56021	70912	
255	-208.84	-109.84	52167	52711	30819	69499	56521	70912	
256	-203.84	-109.84	52167	52711	31640	69499	57169	70912	
257	-237.84	-109.84	52167	52711	32327	69499	57625	70912	
258	-221.84	-109.84	52167	52711	32878	69499	57959	70912	
259	-221.84	-109.84	52167	52711	33778	69499	58189	70912	
260	-221.84	-109.84	52167	52711	34591	69499	58371	70912	
261	-221.84	-109.84	52167	52711	35256	69499	58644	70912	
262	-221.84	-109.84	52167	52711	36317	69499	59077	70912	
263	-221.84	-109.84	52167	52711	37084	69499	59416	70912	
264	-221.84	-109.84	52167	52711	37944	69499	59735	70912	
265	-221.84	-109.84	52167	52711	38859	69499	60066	70912	
266	-221.84	-109.84	52167	52711	39678	69499	60450	70912	
267	-221.84	-109.84	52167	52711	40781	69499	60713	70912	
268	-221.84	-109.84	52167	52711	41975	69499	61004	70912	
269	-183.84	-109.84	52167	52711	43324	69499	61180	70912	
270	-183.84	-109.84	52167	52711	44517	69499	61446	70912	
271	-183.84	-109.84	52167	52711	45413	69499	61899	70912	
272	-183.84	-109.84	52167	52711	46736	69499	62286	70912	
273	-183.84	-109.84	52167	52711	46812	69499	62741	70912	
274	-183.84	-109.84	52167	52711	46896	69499	63115	70912	
275	-183.84	-109.84	52167	52711	47002	69499	63546	70912	
276	-183.84	-109.84	52167	52711	47138	69499	63820	70912	
277	-183.84	-109.84	52167	52711	47282	69499	64194	70912	
278	-183.84	-109.84	52167	52711	47368	69499	64526	70912	
279	-172.84	-109.84	52167	52711	47487	69499	64741	70912	
280	-172.84	-109.84	52167	52711	47660	69499	65068	70912	
281	-172.84	-109.84	52167	52711	47884	69499	65408	70912	
282	-172.84	-109.84	52167	52711	48121	69499	65588	70912	
283	-172.84	-109.84	52167	52711	48322	69499	65824	70912	
284	-168.84	-109.84	52167	52711	48496	69499	66056	70912	
285	-168.84	-109.84	52167	52711	48668	69499	66299	70912	
286	-162.84	-109.84	52167	52711	48939	69499	66544	70912	
287	-153.84	-109.84	52167	52711	49313	69499	66904	70912	
288	-172.84	-109.84	52167	52711	49739	69499	67189	70912	
289	-172.84	-109.84	52167	52711	50018	69499	67434	70912	
290	-172.84	-109.84	52167	52711	50179	69499	67741	70912	
291	-172.84	-109.84	52167	52711	50517	69499	67886	70912	
292	-172.84	-109.84	52167	52711	50753	69499	68140	70912	
293	-172.84	-109.84	52167	52711	51048	69499	68415	70912	
294	-172.84	-109.84	52167	52711	51457	69499	68665	70912	
295	-172.84	-109.84	52167	52711	51807	69499	68942	70912	
296	-172.84	-109.84	52167	52711	52165	69499	69222	70912	
297	-175.84	-109.84	52167	52711	52552	69499	69484	70912	
298	-180.84	-109.84	52167	52711	52809	69499	69810	70912	
299	-170.84	-109.84	52167	52711	53190	69499	70054	70912	
300	-170.84	-109.84	52167	52711	53517	69499	70313	70912	
301	-170.84	-109.84	52167	52711	54218	69499	70567	70912	
302	-170.84	-109.84	52167	52711	54563	69499	70879	70912	
303	-170.84	-109.84	52167	52711	55119	69499	71147	71147	
304	-170.84	-109.84	52167	52711	55330	69499	71414	71414	
305	-177.84	-109.84	52167	52711	55452	69499	71650	71650	
306	-177.84	-109.84	52167	52711	55595	69499	71650	71650	
307	-177.84	-109.84	52167	52711	55764	69499	71650	71650	
308	-177.84	-109.84	52167	52711	55940	69499	71650	71650	
309	-177.84	-109.84	52167	52711	56150	69499	71650	71650	
310	-225.84	-109.84	52167	52711	56359	69499	71650	71650	
311	-274.84	-109.84	52167	52711	56605	69499	71650	71650	
312	-274.84	-109.84	52167	52711	56816	69499	71650	71650	
313	-274.84	-109.84	52167	52711	57045	69499	71650	71650	
314	-255.84	-109.84	52167	52711	57383	69499	71650	71650	
315	-295.84	-109.84	52167	52711	57587	69499	71650	71650	
316	-295.84	-109.84	52167	52711	57850	69499	71650	71650	
317	-295.84	-109.84	52167	52711	58093	69499	71650	71650	
318	-295.84	-109.84	52167	52711	58471	69499	71650	71650	
319	-295.84	-109.84	52167	52711	58745	69499	71650	71650	
320	-295.84	-109.84	52167	52711	59183	69499	71650	71650	
321	-295.84	-109.84	52167	52711	59451	69499	71650	71650	
322	-248.84	-109.84	52167	52711	59784	69499	71650	71650	
323	-252.84	-109.84	52167	52711	60213	69499	71650	71650	
324	-252.84	-109.84	52167	52711	60672	69499	71650	71650	
325	-252.84	-109.84	52167	52711	61058	69499	71650	71650	
326	-255.84	-109.84	52167	52711	61117	69499	71650	71650	
327	-255.84	-109.84	52167	52711	61208	69499	71650	71650	
328	-255.84	-109.84	52167	52711	61259	69499	71650	71650	
329	-255.84	-109.84	52167	52711	61367	69499	71650	71650	
330	-255.84	-109.84	52167	52711	61445	69499	71650	71650	
331	-255.84	-109.84	52167	52711	61614	69499	71650	71650	
332	-255.84	-109.84	52167	52711	61859	69499	71650	71650	
333	-245.84	-109.84	52167	52711	62046	69499	71650	71650	
334	-245.84	-109.84	52167	52711	62224	69499	71650	71650	
335	-226.84	-109.84	52167	52711	62494	69499	71650	71650	
336	-203.84	-109.84	52167	52711	62656	69499	71650	71650	
337	-203.84	-109.84	52167	52711	62779	69499	71650	71650	
338	-209.84	-109.84	52167	52711	62987	69499	71650	71650	
339	-209.84	-109.84	52167	52711	63294	69499	71650	71650	
340	-209.84	-109.84	52167	52711	63498	69499	71650	71650	
341	-173.84	-109.84	52167	52711	63701	69499	71650	71650	
342	-173.84	-109.84	52167	52711	63916	69499	71650	71650	
343	-173.84	-109.84	52167	52711	64183	69499	71650	71650	
344	-173.84	-109.84	52167	52711	64487	69499	71650	71650	
345	-161.84	-109.84	52167	52711	64698	69499	71650	71650	
346	-161.84	-109.84	52167	52711	65083	69499	71650	71650	
347	-154.84	-109.84	52167	52711	65372	69499	71650	71650	
348	-190.84	-109.84	52167	52711	65569	69499	71650	71650	
349	-190.84	-109.84	52167	52711	65886	69499	71650	71650	
350	-190.84	-109.84	52167	52711	65900	69499	71650	71650	
351	-186.84	-109.84	52167	52711	65979	69499	71650	71650	
352	-173.84	-109.84	52167	52711	66101	69499	71650	71650	
353	-173.84	-109.84	52167	52711	66176	69499	71650	71650	
354	-173.84	-109.84	52167	52711	66325	69499	71650	71650	
355	-173.84	-109.84	52167	52711	66487	69499	71650	71650	
356	-164.84	-109.84	52167	52711	66586	69499	71650	71650	
357	-164.84	-109.84	52167	52711	66721	69499	71650	71650	
358	-196.84	-109.84	52167	52711	66902	69499	71650	71650	
359	-196.84	-109.84	52167	52711	67044	69499	71650	71650	
360	-196.84	-109.84	52167	52711	67316	69499	71650	71650	
361	-196.84	-109.84	52167	52711	67515	69499	71650	71650	
362	-236.84	-109.84	52167	52711	67760	69499	71650	71650	
363	-222.84	-109.84	52167	52711	67998	69499	71650	71650	
364	-222.84	-109.84	52167	52711	68206	69499	71650	71650	
365	-253.84	-109.84	52167	52711	68592	69499	71650	71650	
